USA,"Abbeville, LA",,601611,IVR
USA,"Abbeville, LA",,601612,IVR
USA,"Abbeville, LA",,601613,IVR
USA,"Abbeville, LA",,601614,IVR
USA,"Abbeville, LA",,601615,IVR
USA,"Abbeville, LA",,601616,IVR
USA,"Abbeville, LA",,601617,IVR
USA,"Abbeville, LA",,601618,IVR
USA,"Abbeville, LA",,601619,IVR
USA,"Abbeville, LA",,601620,IVR
USA,"Abbeville, LA",,601621,IVR
USA,"Abbeville, LA",,601622,IVR
USA,"Abbeville, LA",,601623,IVR
USA,"Abbeville, LA",,601624,IVR
USA,"Abbeville, LA",,601625,IVR
USA,"Abbeville, LA",,601626,IVR
USA,"Abbeville, LA",,601627,IVR
USA,"Abbeville, LA",,601628,IVR
USA,"Abbeville, LA",,601629,IVR
USA,"Abbeville, LA",,601630,IVR
USA,"Abbeville, LA",,601631,IVR
USA,"Abbeville, LA",,601632,IVR
USA,"Abbeville, LA",,601633,IVR
USA,"Abbeville, LA",,601634,IVR
USA,"Abbeville, LA",,601635,IVR
USA,"Abbeville, LA",,601636,IVR
USA,"Abbeville, LA",,601637,IVR
USA,"Abbeville, LA",,601638,IVR
USA,"Abbeville, LA",,601639,IVR
USA,"Abbeville, LA",,601640,IVR
USA,"Abbeville, LA",,601641,IVR
USA,"Abbeville, LA",,601642,IVR
